crop,county,total_farms_2022,total_acres_2022,total_bearing_age_farms_2022,total_bearing_age_acres_2022,total_nonbearing_age_farms_2022,total_nonbearing_age_acres_2022,total_farms_2017,total_acres_2017,total_bearing_age_farms_2017,total_bearing_age_acres_2017,total_nonbearing_age_farms_2017,total_nonbearing_age_acres_2017
"Noncitrus, All",Essex,2,NA,2,NA,2,NA,8,46,8,38,6,8
"Noncitrus, All",Fairfax,11,14,7,7,9,7,11,78,11,63,8,15
"Noncitrus, All",Fauquier,95,NA,83,648,39,NA,54,532,50,466,24,66
"Noncitrus, All",Floyd,51,387,45,378,16,9,32,NA,24,288,22,NA
"Noncitrus, All",Fluvanna,6,NA,6,26,5,NA,14,43,8,30,12,13
"Noncitrus, All",Franklin,30,NA,28,63,13,NA,32,NA,27,58,14,NA
"Noncitrus, All",Frederick,49,4436,35,4216,37,220,35,4584,29,4034,17,550
"Noncitrus, All",Giles,9,34,6,12,6,22,4,10,3,NA,2,NA
"Noncitrus, All",Gloucester,7,NA,1,NA,7,18,8,4,8,4,0,0
"Noncitrus, All",Goochland,6,31,6,NA,2,NA,8,32,4,13,7,18
"Noncitrus, All",Grayson,22,43,12,7,19,35,15,NA,15,18,6,NA
"Noncitrus, All",Greene,10,12,3,NA,7,NA,9,NA,8,14,1,NA
"Noncitrus, All",Greensville,0,0,0,0,0,0,1,NA,1,NA,1,NA
"Noncitrus, All",Halifax,19,NA,16,30,5,NA,18,40,11,31,10,9
"Noncitrus, All",Hanover,7,NA,5,54,4,NA,17,137,12,85,15,53
"Noncitrus, All",Henrico,6,NA,2,NA,5,1,10,6,10,NA,5,NA
"Noncitrus, All",Henry,16,NA,9,24,11,NA,2,NA,2,NA,1,NA
"Noncitrus, All",Highland,13,NA,11,29,8,NA,7,NA,7,NA,0,0
"Noncitrus, All",Isle of Wight,10,21,10,NA,2,NA,8,NA,8,23,2,NA
"Noncitrus, All",James City,12,143,4,82,12,61,10,NA,5,96,7,NA
"Noncitrus, All",King and Queen,6,6,6,1,6,5,6,1,0,0,6,1
"Noncitrus, All",King George,12,28,7,4,12,24,3,NA,3,NA,0,0
"Noncitrus, All",King William,2,NA,0,0,2,NA,1,NA,1,NA,1,NA
"Noncitrus, All",Lancaster,3,NA,3,NA,0,0,3,NA,3,NA,1,NA
"Noncitrus, All",Lee,16,NA,8,148,10,NA,10,17,2,NA,8,NA
"Noncitrus, All",Loudoun,159,1236,138,1102,61,134,110,NA,94,955,53,NA
"Noncitrus, All",Louisa,22,67,12,46,19,21,29,73,23,61,16,12
"Noncitrus, All",Lunenburg,11,9,11,5,3,3,6,21,4,5,6,16
"Noncitrus, All",Madison,32,247,25,186,19,62,33,NA,27,163,10,NA
"Noncitrus, All",Mecklenburg,18,89,16,79,11,10,35,73,19,59,25,14
"Noncitrus, All",Middlesex,9,27,4,NA,5,NA,3,NA,3,NA,0,0
"Noncitrus, All",Montgomery,23,NA,14,62,13,NA,12,60,12,46,9,15
"Noncitrus, All",Nelson,51,1274,50,1117,28,156,38,1150,30,965,24,185
"Noncitrus, All",New Kent,19,NA,11,150,15,NA,10,136,10,116,4,20
"Noncitrus, All",Northampton,4,1,4,0,4,0,4,NA,4,NA,0,0
"Noncitrus, All",Northumberland,13,NA,13,94,8,NA,3,NA,3,NA,1,NA
"Noncitrus, All",Nottoway,14,26,7,17,11,9,11,52,8,8,11,44
"Noncitrus, All",Orange,19,NA,19,374,7,NA,18,317,18,NA,4,NA
"Noncitrus, All",Page,7,22,1,NA,7,NA,2,NA,2,NA,0,0
"Noncitrus, All",Patrick,31,176,24,133,12,43,23,268,21,196,10,72
"Noncitrus, All",Pittsylvania,19,NA,18,34,3,NA,33,74,24,54,20,21
"Noncitrus, All",Powhatan,11,11,11,8,9,4,7,9,5,NA,2,NA
"Noncitrus, All",Prince Edward,15,44,13,36,10,8,4,10,3,NA,3,NA
"Noncitrus, All",Prince George,0,0,0,0,0,0,1,NA,1,NA,1,NA
"Noncitrus, All",Prince William,11,NA,9,15,5,NA,25,28,11,7,16,22
"Noncitrus, All",Pulaski,19,NA,17,41,10,NA,8,21,8,12,4,9
"Noncitrus, All",Rappahannock,59,NA,44,564,44,NA,40,NA,35,390,30,NA
"Noncitrus, All",Richmond,0,0,0,0,0,0,5,NA,5,NA,0,0
"Noncitrus, All",Roanoke,28,92,14,39,19,53,14,50,14,50,0,0
"Noncitrus, All",Rockbridge,30,135,28,124,13,12,27,91,21,69,14,22
"Noncitrus, All",Rockingham,39,NA,26,NA,21,75,43,1033,35,903,25,130
"Noncitrus, All",Russell,16,10,16,NA,1,NA,4,NA,4,NA,0,0
"Noncitrus, All",Scott,12,8,8,5,10,3,17,26,7,8,13,18
"Noncitrus, All",Shenandoah,56,1147,33,970,43,177,35,NA,21,822,23,NA
"Noncitrus, All",Smyth,5,NA,4,NA,4,2,4,3,4,3,0,0
"Noncitrus, All",Southampton,4,NA,2,NA,4,1,4,1,4,1,0,0
"Noncitrus, All",Spotsylvania,21,62,21,48,13,15,17,107,12,92,11,15
"Noncitrus, All",Stafford,17,162,17,159,4,3,10,NA,8,NA,3,NA
"Noncitrus, All",Surry,5,NA,5,20,2,NA,5,NA,2,NA,3,1
"Noncitrus, All",Tazewell,24,NA,19,12,12,NA,4,5,4,NA,2,NA
"Noncitrus, All",Warren,9,37,8,NA,2,NA,18,91,13,72,10,19
"Noncitrus, All",Washington,34,NA,28,25,15,NA,36,NA,31,62,23,NA
"Noncitrus, All",Westmoreland,10,129,10,118,4,11,19,NA,18,234,7,NA
"Noncitrus, All",Wise,7,NA,4,NA,3,33,10,NA,8,44,6,NA
"Noncitrus, All",Wythe,3,NA,2,NA,2,NA,6,NA,6,NA,1,NA
"Noncitrus, All",Chesapeake City,13,51,13,NA,1,NA,13,7,5,2,13,6
"Noncitrus, All",Suffolk,3,NA,3,6,2,NA,7,NA,5,2,2,NA
"Noncitrus, All",Virginia Beach City,3,NA,3,NA,0,0,6,32,6,22,5,9
Apples,Accomack,0,0,0,0,0,0,3,NA,3,NA,0,0
Apples,Albemarle,21,NA,20,NA,5,NA,12,NA,11,NA,11,NA
Apples,Alleghany,3,0,3,0,0,0,3,1,3,1,0,0
Apples,Amelia,7,3,7,3,3,1,9,6,1,NA,8,NA
Apples,Amherst,5,344,4,337,5,7,3,NA,3,NA,2,NA
Apples,Appomattox,3,NA,0,0,3,NA,3,NA,1,NA,2,NA
Apples,Augusta,16,15,5,7,15,8,11,8,6,4,7,4
Apples,Bath,1,NA,1,NA,0,0,2,NA,2,NA,1,NA
Apples,Bedford,34,119,14,68,26,51,22,115,12,43,19,72
Apples,Bland,3,NA,3,NA,0,0,2,NA,0,0,2,NA
Apples,Botetourt,4,NA,4,NA,2,NA,5,NA,5,NA,1,NA
Apples,Brunswick,6,3,6,3,0,0,1,NA,1,NA,0,0
Apples,Buchanan,2,NA,2,NA,2,NA,0,0,0,0,0,0
Apples,Buckingham,15,31,3,6,12,25,7,40,4,5,5,35
Apples,Campbell,1,NA,1,NA,0,0,7,60,6,17,4,43
Apples,Caroline,0,0,0,0,0,0,9,7,0,0,9,7
Apples,Carroll,36,448,20,394,23,54,26,361,18,316,14,45
Apples,Charles City,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA
Apples,Charlotte,14,13,13,NA,1,NA,9,8,4,8,5,1
Apples,Chesterfield,0,0,0,0,0,0,6,1,6,1,0,0
Apples,Clarke,2,NA,2,NA,2,NA,4,337,4,NA,2,NA
Apples,Craig,11,97,10,76,4,21,12,11,8,9,6,2
Apples,Culpeper,10,13,5,2,8,11,8,3,5,NA,4,NA
Apples,Cumberland,8,10,8,8,4,2,0,0,0,0,0,0
Apples,Dickenson,0,0,0,0,0,0,1,NA,0,0,1,NA
Apples,Fairfax,6,1,0,0,6,1,7,3,3,2,6,1
Apples,Fauquier,41,151,23,83,20,68,17,102,13,77,10,25
Apples,Floyd,43,170,32,165,14,5,20,171,12,154,17,17
Apples,Fluvanna,5,33,5,25,4,8,7,9,5,NA,6,NA
Apples,Franklin,12,24,7,18,8,5,18,36,13,30,10,6
Apples,Frederick,25,4170,21,4028,14,142,30,4400,24,3892,17,508
Apples,Giles,7,27,4,NA,6,NA,1,NA,0,0,1,NA
Apples,Gloucester,1,NA,1,NA,0,0,7,NA,7,NA,0,0
Apples,Goochland,5,15,5,NA,2,NA,7,NA,3,NA,7,NA
Apples,Grayson,19,17,11,6,17,11,13,16,13,NA,2,NA
Apples,Greene,4,4,0,0,4,4,1,NA,0,0,1,NA
Apples,Greensville,0,0,0,0,0,0,1,NA,1,NA,0,0
Apples,Halifax,4,8,1,NA,4,NA,7,5,3,NA,5,NA
Apples,Hanover,1,NA,1,NA,1,NA,5,27,2,NA,5,NA
Apples,Henrico,1,NA,1,NA,0,0,0,0,0,0,0,0
Apples,Henry,11,7,4,2,9,6,1,NA,1,NA,1,NA
Apples,Highland,11,34,11,29,6,5,6,19,6,19,0,0
Apples,Isle of Wight,5,1,5,1,0,0,3,NA,2,NA,2,NA
Apples,James City,8,14,0,0,8,14,3,NA,1,NA,2,NA
Apples,King and Queen,6,4,0,0,6,4,0,0,0,0,0,0
Apples,King George,9,6,7,NA,3,NA,1,NA,1,NA,0,0
Apples,King William,0,0,0,0,0,0,1,NA,1,NA,1,NA
Apples,Lancaster,1,NA,1,NA,0,0,0,0,0,0,0,0
Apples,Lee,5,NA,5,NA,2,NA,7,9,2,NA,5,NA
Apples,Loudoun,36,48,18,27,23,21,31,45,20,40,13,5
Apples,Louisa,18,14,8,NA,13,NA,20,7,6,2,14,5
Apples,Lunenburg,9,5,9,4,3,1,6,8,1,NA,6,NA
Apples,Madison,9,70,9,NA,4,NA,14,73,8,53,9,20
Apples,Mecklenburg,11,23,10,20,4,3,24,25,12,20,20,6
Apples,Middlesex,3,NA,3,NA,0,0,3,NA,3,NA,0,0
Apples,Montgomery,18,79,9,42,12,37,9,40,6,NA,8,NA
Apples,Nelson,18,633,16,554,12,79,15,747,12,605,13,141
Apples,New Kent,2,NA,0,0,2,NA,4,12,4,12,0,0
Apples,Northampton,4,0,0,0,4,0,0,0,0,0,0,0
Apples,Northumberland,8,51,8,NA,8,NA,2,NA,2,NA,1,NA
Apples,Nottoway,11,6,3,NA,10,NA,7,14,4,3,7,11
Apples,Orange,2,NA,2,NA,0,0,3,NA,3,NA,0,0
Apples,Page,1,NA,1,NA,1,NA,1,NA,1,NA,0,0
Apples,Patrick,21,110,14,86,10,25,14,196,14,138,7,58
Apples,Pittsylvania,6,9,6,NA,1,NA,24,25,14,14,16,11
Apples,Powhatan,1,NA,1,NA,0,0,2,NA,0,0,2,NA
Apples,Prince Edward,6,13,4,8,6,5,4,5,1,NA,3,NA
Apples,Prince William,2,NA,1,NA,1,NA,13,1,7,NA,6,NA
Apples,Pulaski,15,41,15,NA,2,NA,5,8,5,NA,2,NA
Apples,Rappahannock,17,161,8,147,12,14,20,211,19,193,11,18
Apples,Roanoke,25,45,11,16,14,29,10,24,10,24,0,0
Apples,Rockbridge,12,51,10,47,8,3,17,25,11,11,12,15
Apples,Rockingham,10,NA,10,NA,4,41,13,NA,10,NA,8,NA
Apples,Russell,14,NA,13,3,1,NA,3,5,3,5,0,0
Apples,Scott,7,4,2,NA,5,NA,15,19,5,4,11,15
Apples,Shenandoah,20,NA,5,NA,17,NA,19,NA,8,NA,13,NA
Apples,Smyth,4,1,4,NA,3,NA,3,NA,3,NA,0,0
Apples,Southampton,3,NA,1,NA,2,NA,0,0,0,0,0,0
Apples,Spotsylvania,16,25,10,24,9,2,4,NA,4,NA,0,0
Apples,Stafford,0,0,0,0,0,0,2,NA,0,0,2,NA
Apples,Surry,4,14,3,NA,1,NA,3,NA,0,0,3,NA
Apples,Tazewell,21,16,19,NA,9,NA,3,2,3,NA,1,NA
Apples,Warren,1,NA,0,0,1,NA,7,NA,2,NA,6,6
Apples,Washington,22,23,17,15,13,8,22,24,20,14,16,10
Apples,Westmoreland,1,NA,1,NA,0,0,1,NA,0,0,1,NA
Apples,Wise,7,NA,4,NA,3,NA,4,NA,4,NA,0,0
Apples,Wythe,3,NA,2,NA,1,NA,2,NA,2,NA,0,0
Apples,Chesapeake City,4,39,4,NA,1,NA,4,3,0,0,4,3
Apples,Suffolk,2,NA,2,NA,1,NA,1,NA,0,0,1,NA
Apples,Virginia Beach City,1,NA,1,NA,0,0,3,10,3,NA,3,NA
Apricots,Albemarle,2,NA,1,NA,1,NA,2,NA,1,NA,1,NA
Apricots,Amelia,4,0,0,0,4,0,0,0,0,0,0,0
Apricots,Augusta,3,1,3,1,0,0,2,NA,2,NA,0,0
Apricots,Bedford,2,NA,2,NA,0,0,0,0,0,0,0,0
Apricots,Buckingham,2,NA,0,0,2,NA,0,0,0,0,0,0
Apricots,Charles City,1,NA,1,NA,1,NA,1,NA,1,NA,0,0
Apricots,Culpeper,2,NA,0,0,2,NA,0,0,0,0,0,0
Apricots,Fairfax,3,NA,2,NA,1,NA,2,NA,2,NA,2,NA
Apricots,Fauquier,3,2,3,2,0,0,3,3,3,3,0,0
Apricots,Franklin,1,NA,0,0,1,NA,2,NA,0,0,2,NA
Apricots,Grayson,0,0,0,0,0,0,2,NA,0,0,2,NA
Apricots,Hanover,2,NA,1,NA,2,NA,4,NA,1,NA,3,0
Apricots,Loudoun,5,NA,1,NA,5,NA,0,0,0,0,0,0
Apricots,Mecklenburg,0,0,0,0,0,0,4,NA,4,NA,0,0
Apricots,Patrick,1,NA,1,NA,0,0,1,NA,0,0,1,NA
Apricots,Rockbridge,2,NA,0,0,2,NA,0,0,0,0,0,0
Apricots,Shenandoah,1,NA,1,NA,0,0,0,0,0,0,0,0
Apricots,Suffolk,1,NA,1,NA,0,0,0,0,0,0,0,0
"Cherries, Sweet",Albemarle,3,NA,2,NA,3,NA,4,27,4,21,4,6
"Cherries, Sweet",Alleghany,3,1,3,0,3,0,0,0,0,0,0,0
"Cherries, Sweet",Amelia,7,1,3,NA,7,NA,0,0,0,0,0,0
"Cherries, Sweet",Augusta,2,NA,2,NA,1,NA,2,NA,0,0,2,NA
"Cherries, Sweet",Bedford,6,1,5,NA,1,NA,4,NA,2,NA,2,NA
"Cherries, Sweet",Bland,0,0,0,0,0,0,2,NA,0,0,2,NA
"Cherries, Sweet",Botetourt,1,NA,1,NA,0,0,2,NA,2,NA,0,0
"Cherries, Sweet",Buchanan,3,7,3,7,0,0,1,NA,1,NA,0,0
"Cherries, Sweet",Buckingham,2,NA,2,NA,2,NA,3,2,0,0,3,2
"Cherries, Sweet",Carroll,9,38,7,36,4,2,5,2,3,2,3,1
"Cherries, Sweet",Charlotte,0,0,0,0,0,0,3,1,0,0,3,1
"Cherries, Sweet",Clarke,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA
"Cherries, Sweet",Craig,4,2,0,0,4,2,4,2,0,0,4,2
"Cherries, Sweet",Culpeper,0,0,0,0,0,0,2,NA,2,NA,0,0
"Cherries, Sweet",Fairfax,3,0,0,0,3,0,4,NA,0,0,4,NA
"Cherries, Sweet",Fauquier,15,5,13,NA,6,NA,2,NA,2,NA,2,NA
"Cherries, Sweet",Floyd,8,3,8,3,0,0,3,1,3,NA,2,NA
"Cherries, Sweet",Fluvanna,2,NA,0,0,2,NA,0,0,0,0,0,0
"Cherries, Sweet",Franklin,1,NA,0,0,1,NA,0,0,0,0,0,0
"Cherries, Sweet",Frederick,5,NA,2,NA,3,NA,2,NA,2,NA,0,0
"Cherries, Sweet",Grayson,1,NA,0,0,1,NA,2,NA,0,0,2,NA
"Cherries, Sweet",Hanover,1,NA,1,NA,1,NA,5,2,2,NA,4,NA
"Cherries, Sweet",Highland,0,0,0,0,0,0,1,NA,1,NA,0,0
"Cherries, Sweet",Isle of Wight,2,NA,2,NA,0,0,0,0,0,0,0,0
"Cherries, Sweet",King and Queen,6,1,0,0,6,1,0,0,0,0,0,0
"Cherries, Sweet",King George,0,0,0,0,0,0,1,NA,1,NA,0,0
"Cherries, Sweet",Loudoun,20,6,7,4,14,2,7,5,5,NA,2,NA
"Cherries, Sweet",Louisa,0,0,0,0,0,0,3,NA,3,NA,0,0
"Cherries, Sweet",Lunenburg,0,0,0,0,0,0,2,NA,0,0,2,NA
"Cherries, Sweet",Mecklenburg,1,NA,0,0,1,NA,5,1,2,NA,3,NA
"Cherries, Sweet",Montgomery,8,3,2,NA,6,NA,1,NA,1,NA,0,0
"Cherries, Sweet",Nelson,3,12,3,12,0,0,2,NA,2,NA,0,0
"Cherries, Sweet",New Kent,2,NA,0,0,2,NA,0,0,0,0,0,0
"Cherries, Sweet",Nottoway,1,NA,0,0,1,NA,3,1,0,0,3,1
"Cherries, Sweet",Orange,1,NA,1,NA,1,NA,1,NA,1,NA,0,0
"Cherries, Sweet",Patrick,3,1,3,1,0,0,4,7,1,NA,4,NA
"Cherries, Sweet",Pittsylvania,2,NA,2,NA,0,0,12,3,4,2,8,1
"Cherries, Sweet",Prince William,3,1,0,0,3,1,11,NA,5,1,6,NA
"Cherries, Sweet",Pulaski,2,NA,0,0,2,NA,0,0,0,0,0,0
"Cherries, Sweet",Rappahannock,0,0,0,0,0,0,3,30,0,0,3,30
"Cherries, Sweet",Roanoke,3,NA,0,0,3,NA,0,0,0,0,0,0
"Cherries, Sweet",Rockbridge,1,NA,0,0,1,NA,8,NA,2,NA,6,1
"Cherries, Sweet",Rockingham,2,NA,2,NA,0,0,7,4,7,4,0,0
"Cherries, Sweet",Scott,0,0,0,0,0,0,6,NA,0,0,6,NA
"Cherries, Sweet",Shenandoah,7,3,2,NA,5,NA,1,NA,1,NA,0,0
"Cherries, Sweet",Smyth,1,NA,0,0,1,NA,0,0,0,0,0,0
"Cherries, Sweet",Spotsylvania,0,0,0,0,0,0,5,NA,0,0,5,NA
"Cherries, Sweet",Surry,1,NA,0,0,1,NA,0,0,0,0,0,0
"Cherries, Sweet",Tazewell,3,1,0,0,3,1,0,0,0,0,0,0
"Cherries, Sweet",Washington,6,2,1,NA,5,NA,5,3,3,2,4,1
"Cherries, Sweet",Chesapeake City,1,NA,0,0,1,NA,0,0,0,0,0,0
"Cherries, Sweet",Suffolk,2,NA,1,NA,1,NA,0,0,0,0,0,0
"Cherries, Tart",Albemarle,2,NA,0,0,2,NA,0,0,0,0,0,0
"Cherries, Tart",Amherst,1,NA,0,0,1,NA,0,0,0,0,0,0
"Cherries, Tart",Appomattox,0,0,0,0,0,0,2,NA,2,NA,0,0
"Cherries, Tart",Augusta,4,0,1,NA,3,NA,4,1,1,NA,3,NA
"Cherries, Tart",Bath,1,NA,1,NA,0,0,1,NA,1,NA,0,0
"Cherries, Tart",Bedford,3,0,3,0,0,0,0,0,0,0,0,0
"Cherries, Tart",Buchanan,2,NA,2,NA,0,0,0,0,0,0,0,0
"Cherries, Tart",Campbell,3,NA,3,NA,0,0,0,0,0,0,0,0
"Cherries, Tart",Caroline,0,0,0,0,0,0,2,NA,2,NA,0,0
"Cherries, Tart",Charles City,1,NA,0,0,1,NA,1,NA,1,NA,0,0
"Cherries, Tart",Craig,3,2,0,0,3,2,2,NA,2,NA,2,NA
"Cherries, Tart",Culpeper,3,1,3,1,0,0,1,NA,0,0,1,NA
"Cherries, Tart",Fairfax,4,1,0,0,4,1,0,0,0,0,0,0
"Cherries, Tart",Fauquier,5,6,5,NA,1,NA,5,8,5,8,0,0
"Cherries, Tart",Floyd,9,2,9,2,0,0,2,NA,2,NA,0,0
"Cherries, Tart",Fluvanna,2,NA,1,NA,1,NA,0,0,0,0,0,0
"Cherries, Tart",Franklin,1,NA,0,0,1,NA,4,0,0,0,4,0
"Cherries, Tart",Frederick,4,2,4,NA,1,NA,2,NA,2,NA,0,0
"Cherries, Tart",Greene,0,0,0,0,0,0,1,NA,1,NA,0,0
"Cherries, Tart",Hanover,2,NA,1,NA,1,NA,3,1,0,0,3,1
"Cherries, Tart",Isle of Wight,0,0,0,0,0,0,1,NA,0,0,1,NA
"Cherries, Tart",Lancaster,1,NA,1,NA,0,0,0,0,0,0,0,0
"Cherries, Tart",Loudoun,12,3,4,2,9,1,5,1,2,NA,3,NA
"Cherries, Tart",Louisa,2,NA,2,NA,0,0,6,NA,6,NA,0,0
"Cherries, Tart",Madison,3,2,3,NA,3,NA,1,NA,1,NA,0,0
"Cherries, Tart",Montgomery,1,NA,1,NA,0,0,0,0,0,0,0,0
"Cherries, Tart",Nelson,1,NA,1,NA,0,0,2,NA,2,NA,0,0
"Cherries, Tart",Page,1,NA,1,NA,0,0,1,NA,1,NA,0,0
"Cherries, Tart",Patrick,1,NA,1,NA,0,0,0,0,0,0,0,0
"Cherries, Tart",Pittsylvania,2,NA,2,NA,0,0,2,NA,2,NA,0,0
"Cherries, Tart",Powhatan,6,1,6,1,6,1,0,0,0,0,0,0
"Cherries, Tart",Pulaski,1,NA,1,NA,0,0,4,0,3,NA,1,NA
"Cherries, Tart",Rappahannock,0,0,0,0,0,0,4,1,4,NA,1,NA
"Cherries, Tart",Rockbridge,1,NA,0,0,1,NA,1,NA,1,NA,0,0
"Cherries, Tart",Rockingham,3,NA,2,NA,1,NA,6,2,3,1,3,0
"Cherries, Tart",Shenandoah,2,NA,2,NA,0,0,1,NA,0,0,1,NA
"Cherries, Tart",Smyth,1,NA,1,NA,0,0,1,NA,1,NA,0,0
"Cherries, Tart",Spotsylvania,6,1,0,0,6,1,0,0,0,0,0,0
"Cherries, Tart",Surry,1,NA,0,0,1,NA,0,0,0,0,0,0
"Cherries, Tart",Tazewell,1,NA,0,0,1,NA,0,0,0,0,0,0
"Cherries, Tart",Washington,0,0,0,0,0,0,2,NA,2,NA,2,NA
"Cherries, Tart",Chesapeake City,1,NA,0,0,1,NA,0,0,0,0,0,0
"Cherries, Tart",Suffolk,1,NA,0,0,1,NA,0,0,0,0,0,0
Figs,Accomack,0,0,0,0,0,0,2,NA,2,NA,2,NA
Figs,Albemarle,1,NA,0,0,1,NA,1,NA,1,NA,1,NA
Figs,Amelia,5,1,1,NA,4,NA,0,0,0,0,0,0
Figs,Amherst,0,0,0,0,0,0,1,NA,1,NA,0,0
Figs,Appomattox,1,NA,0,0,1,NA,0,0,0,0,0,0
Figs,Augusta,1,NA,1,NA,1,NA,0,0,0,0,0,0
Figs,Bedford,4,NA,2,NA,2,NA,0,0,0,0,0,0
Figs,Buckingham,4,1,2,NA,4,NA,2,NA,2,NA,0,0
Figs,Caroline,3,5,3,NA,1,NA,1,NA,0,0,1,NA
Figs,Charles City,1,NA,0,0,1,NA,2,NA,1,NA,1,NA
Figs,Charlotte,4,2,4,2,0,0,3,0,0,0,3,0
Figs,Chesterfield,0,0,0,0,0,0,3,0,0,0,3,0
Figs,Fairfax,6,1,5,NA,1,NA,7,NA,7,NA,2,NA
Figs,Fauquier,9,3,9,3,0,0,5,NA,5,1,2,NA
Figs,Floyd,7,4,7,4,0,0,0,0,0,0,0,0
Figs,Fluvanna,1,NA,0,0,1,NA,0,0,0,0,0,0
Figs,Franklin,0,0,0,0,0,0,2,NA,0,0,2,NA
Figs,Gloucester,1,NA,0,0,1,NA,1,NA,1,NA,0,0
Figs,Grayson,1,NA,0,0,1,NA,0,0,0,0,0,0
Figs,Hanover,0,0,0,0,0,0,3,1,0,0,3,1
Figs,Henrico,3,NA,1,NA,2,NA,0,0,0,0,0,0
Figs,Isle of Wight,0,0,0,0,0,0,1,NA,1,NA,1,NA
Figs,King George,6,NA,6,NA,0,0,2,NA,2,NA,0,0
Figs,Loudoun,13,4,6,1,10,2,8,3,8,3,0,0
Figs,Louisa,7,NA,0,0,7,NA,0,0,0,0,0,0
Figs,Madison,3,NA,3,NA,0,0,0,0,0,0,0,0
Figs,Mecklenburg,5,1,2,NA,3,NA,2,NA,2,NA,0,0
Figs,Middlesex,2,NA,2,NA,0,0,0,0,0,0,0,0
Figs,Montgomery,2,NA,0,0,2,NA,0,0,0,0,0,0
Figs,Nelson,2,NA,2,NA,0,0,1,NA,0,0,1,NA
Figs,New Kent,6,9,0,0,6,9,0,0,0,0,0,0
Figs,Northumberland,6,NA,6,NA,0,0,0,0,0,0,0,0
Figs,Nottoway,1,NA,1,NA,0,0,3,1,3,1,0,0
Figs,Orange,1,NA,1,NA,1,NA,1,NA,1,NA,0,0
Figs,Patrick,1,NA,1,NA,0,0,0,0,0,0,0,0
Figs,Pittsylvania,0,0,0,0,0,0,8,1,2,NA,6,NA
Figs,Prince William,2,NA,0,0,2,NA,0,0,0,0,0,0
Figs,Pulaski,1,NA,1,NA,0,0,0,0,0,0,0,0
Figs,Rappahannock,1,NA,1,NA,0,0,0,0,0,0,0,0
Figs,Roanoke,3,2,0,0,3,2,2,NA,2,NA,0,0
Figs,Rockbridge,2,NA,1,NA,1,NA,0,0,0,0,0,0
Figs,Rockingham,0,0,0,0,0,0,3,0,3,0,0,0
Figs,Scott,1,NA,1,NA,0,0,0,0,0,0,0,0
Figs,Shenandoah,2,NA,2,NA,2,NA,0,0,0,0,0,0
Figs,Southampton,3,0,1,NA,3,NA,0,0,0,0,0,0
Figs,Spotsylvania,0,0,0,0,0,0,2,NA,0,0,2,NA
Figs,Washington,2,NA,2,NA,0,0,0,0,0,0,0,0
Figs,Westmoreland,2,NA,2,NA,2,NA,0,0,0,0,0,0
