county,austrian_winter_peas,barley_for_grain,buckwheat,canola,corn_for_grain,cotton_all,dry_edible_beans_excluding_chickpeas_and_limas,dry_lima_beans,emmer_and_spelt,hemp_for_fiber,hemp_for_floral_cbd_and_other_cannabinoid_usage_,hemp_for_grain,oats_for_grain,other_hemp_usage,other_spring_wheat_for_grain,peanuts_for_nuts,popcorn,proso_millet,rapeseed,rye_for_grain,sorghum_for_grain,soybeans_for_beans,sunflower_seed_all,sunflower_seed_non_oil_varieties,sunflower_seed_oil_varieties,tobacco,triticale_for_grain,upland_cotton,wheat_for_grain_all,winter_wheat_for_grain,almonds,apples,apricots,cherries_sweet,cherries_tart,chestnuts,figs,grapes_include_muscadine_,hazelnuts_filberts_,kiwifruit,nectarines,noncitrus_all,nuts_all,other_noncitrus_fruit,other_nuts,pawpaws,peaches_all,peaches_clingstone,peaches_freestone,pears_all,pears_bartlett,pears_other_than_bartlett,pecans_all,pecans_improved,persimmons,plumcots_pluots_and_other_plum_apricot_hybrids,plums,plums_and_prunes,pomegranates,walnuts_english
nelson,,,,,142.91900561347234,,,,,,20.0,,,,,,,,,,,48.85227272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_kent,,,,,175.13274715848166,,,,,,,,,,,,,,,,,40.02886056971514,,,,,,,73.14846153846153,73.14846153846153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northampton,,,,,150.19561205659215,,,,,,123.33333333333333,,,,,,,,,,,18.083699184674156,,,,,,,64.2251449582803,64.2251449582803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northumberland,,90.37669902912621,,,169.82529977442715,,,,,,,,,,,,,,,,,40.55771613764179,,,,,,,75.15477178423237,75.15477178423237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nottoway,,,,,89.36206168145331,,,,,,,,,,,,,,,,,31.48354278874925,,,,,,,50.27522935779817,50.27522935779817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange,,80.06896551724138,,,173.12591584676576,,,,,,,,,,,,,,,,,51.37122111289534,,,,,,,73.59296947271045,73.59296947271045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
page,,64.63112391930835,,,152.93238756414127,,,,,,,,,,,,,,,21.404371584699454,,38.4860248447205,,,,,,,57.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick,,,,,108.52808988764045,,,,,,,,,,,,,,,,,50.982658959537574,,,,,,,44.32036613272311,44.32036613272311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pittsylvania,,81.58258928571429,,,119.43947155567538,,,,,,,,59.46288209606987,,,,,,,25.126923076923077,,38.80026095465913,,,,2192.2087604846224,,,50.87323264781491,50.87323264781491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powhatan,,,,,153.6991392801252,,,,,,,,,,,,,,,14.0,,44.84461709211987,,,,,,,37.74324324324324,37.74324324324324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince_edward,,,,,139.48224852071007,,,,,,,,,,,,,,,,,33.97799696509863,,,,,,,41.389830508474574,41.389830508474574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince_george,,,,,158.2704642296479,,,,,,,,,,,,,,,,,36.422539489671934,,,,,,,65.54424040066777,65.54424040066777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince_william,,,,,170.13422818791946,,,,,,,,,,,,,,,,,45.40027247956403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pulaski,,,,,,,,,,,,,,,,,,,,,,36.888888888888886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rappahannock,,,,,,,,,,,,,,,,,,,,,,60.02923976608187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richmond,,94.76923076923077,,,184.34492410377865,,,,,,,,,,,,,,,57.4780487804878,,43.921300066632114,,,,,,,72.47939311594203,72.47939311594203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roanoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rockbridge,,,,,171.6922831632653,,,,,,,,,,,,,,,,90.6608695652174,47.6252319109462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rockingham,,67.76502002670227,,,177.5192991631799,,,,,1630.825,0.6666666666666666,,,,,,,,,19.50783699059561,66.79674796747967,52.77015437392796,,,,,,,83.75636811832375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russell,,,,,99.5,,,,,,,,,,,,,,,,,,,,,1857.142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scott,,,,,136.2007722007722,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shenandoah,,78.15833333333333,,,181.4118709910561,,,,,,,,,,,,,,,,,53.71214057507987,,,,,,,76.0421875,76.0421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smyth,,,,,90.47766323024055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southampton,,,,,141.87580041843657,2.1411858974358973,,,,,,,,,,4146.720105124836,,,,29.329268292682926,,32.036275337837836,,,,,,2.1411858974358973,65.77144585601935,65.77144585601935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotsylvania,,,,,162.35157159487775,,,,,,,,,,,,,,,,,52.91668548205013,,,,,,,72.27848101265823,72.27848101265823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stafford,,,,,163.96056338028168,,,,,,,,,,,,,,,,,42.24828375286041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suffolk,,,,,116.72437965950817,2.1263629822328003,,,,,,,,,,4050.1694144400226,,,,,29.77777777777778,37.47432701894317,,,,,,2.1263629822328003,55.82854557792355,55.82854557792355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surry,,,,,149.5551227113362,2.3101317957166394,,,,,,,,,,4510.99263803681,,,,23.441860465116278,,32.99853362660801,,,,,,2.3101317957166394,59.473970473970475,59.473970473970475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sussex,,,,,144.1890707565408,2.492108229988726,,,,,,,,,,4482.430648769575,,,,,,31.446706412679948,,,,,,2.492108229988726,57.842426044299096,57.842426044299096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tazewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virginia_beach,,,,,172.74492385786803,,,,,,,,,,,,,,,,,54.39381372040781,,,,,,,74.93093922651934,74.93093922651934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warren,,,,,107.25112107623319,,,,,,200.0,,,,,,,,,,,35.48951048951049,,,,,,,78.68939393939394,78.68939393939394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
washington,,,,,107.22765957446809,,,,,,,,,,,,,,,,,,,,,1693.344262295082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
westmoreland,,89.03916083916084,,,170.61697649947388,,,,,,,,,,,,,,,,,36.422867513611614,,,,,,,73.71793814432989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wythe,,,,,96.27612655800576,,,,,,,,,,,,,,,38.869565217391305,,,,,,,,,49.32950191570881,49.32950191570881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
york,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
